Zweigstelle;Zweigstellenname;schliesstag;Anlass;Beschreibung;Typ
WO;Waldhäuser-Ost;23.12.2024;;;Einmalig
D;Derendingen;27.12.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;27.12.2024;;;Einmalig
Hi;Hirschau;27.12.2024;;;Einmalig
HST;Hauptstelle Tübingen;27.12.2024;;;Einmalig
MZU;Medienzentrum;27.12.2024;;;Einmalig
WO;Waldhäuser-Ost;27.12.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;28.12.2024;;;Einmalig
Hi;Hirschau;28.12.2024;;;Einmalig
HST;Hauptstelle Tübingen;28.12.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;29.12.2024;;;Einmalig
D;Derendingen;30.12.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;30.12.2024;;;Einmalig
Hi;Hirschau;30.12.2024;;;Einmalig
MZU;Medienzentrum;30.12.2024;;;Einmalig
WO;Waldhäuser-Ost;30.12.2024;;;Einmalig
D;Derendingen;31.12.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;31.12.2024;;;Einmalig
Hi;Hirschau;31.12.2024;;;Einmalig
HST;Hauptstelle Tübingen;31.12.2024;;;Einmalig
MZU;Medienzentrum;31.12.2024;;;Einmalig
WO;Waldhäuser-Ost;31.12.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;01.01.2025;;;Einmalig
D;Derendingen;02.01.2025;;;Einmalig
