Zweigstelle;Zweigstellenname;schliesstag;Anlass;Beschreibung;Typ
D;Derendingen;02.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;02.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;02.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;02.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;03.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;03.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;03.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;03.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;04.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;04.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;04.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;04.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;05.01.2019;;;Einmalig
D;Derendingen;07.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;07.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;07.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;07.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;08.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;08.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;08.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;08.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;08.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;08.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;09.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;09.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;09.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;09.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;10.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;10.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;10.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;10.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;11.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;11.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;11.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;11.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;11.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;11.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;12.01.2019;;;Einmalig
D;Derendingen;14.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;14.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;14.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;14.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;15.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;15.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;15.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;15.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;15.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;15.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;16.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;16.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;16.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;16.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;16.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;16.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;17.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;17.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;17.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;17.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;18.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;18.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;18.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;18.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;18.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;18.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;19.01.2019;;;Einmalig
D;Derendingen;21.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;21.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;21.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;21.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;21.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;21.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;22.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;22.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;22.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;22.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;22.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;22.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;23.01.2019;Umstieg LMUmstieg LMS-kohaS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;23.01.2019;Umstieg LMUmstieg LMS-kohaS-koha;;Einmalig
Hi;Hirschau;23.01.2019;Umstieg LMUmstieg LMS-kohaS-koha;;Einmalig
HST;Hauptstelle Tübingen;23.01.2019;Umstieg LMUmstieg LMS-kohaS-koha;;Einmalig
MZU;Medienzentrum;23.01.2019;Umstieg LMUmstieg LMS-kohaS-koha;;Einmalig
WO;Waldhäuser-Ost;23.01.2019;Umstieg LMUmstieg LMS-kohaS-koha;;Einmalig
D;Derendingen;24.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;24.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;24.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;24.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;24.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;24.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;25.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;25.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;25.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;25.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;25.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;25.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;26.01.2019;;;Einmalig
D;Derendingen;28.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;28.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;28.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;28.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;28.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;28.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;29.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;29.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;29.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;29.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;29.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;29.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;30.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;30.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;30.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;30.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;30.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;30.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;31.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;31.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;31.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;31.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;31.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;31.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;01.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;01.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;01.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;01.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;01.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;01.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;02.02.2019;;;Einmalig
D;Derendingen;04.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;04.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;04.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;04.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;04.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;04.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;05.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;05.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;05.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;05.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;05.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;05.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;06.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;06.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;06.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;06.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;06.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;06.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;07.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;07.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;07.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;07.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;07.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;07.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;08.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;08.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;08.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;08.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;08.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;08.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;09.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;09.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;09.02.2019;;;Einmalig
D;Derendingen;11.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;11.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;11.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;11.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;11.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;11.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;12.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;12.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;12.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;12.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;12.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;12.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;13.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;13.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;13.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;13.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;13.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;13.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;14.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;14.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;14.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;14.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;14.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;14.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;15.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;15.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;15.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;15.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;15.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;15.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;16.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;16.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;16.02.2019;;;Einmalig
D;Derendingen;18.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;18.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;18.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;18.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;18.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;18.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;19.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;19.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;19.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;19.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;19.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;19.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;20.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;20.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;20.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;20.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;20.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;20.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;21.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;21.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;21.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;21.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;21.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;21.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;22.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;22.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;22.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;22.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;22.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;22.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;23.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;23.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;23.02.2019;;;Einmalig
D;Derendingen;25.02.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;25.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;25.02.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;25.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;25.02.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;25.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;26.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;26.02.2019;;;Einmalig
HST;Hauptstelle Tübingen;26.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;26.02.2019;;;Einmalig
WO;Waldhäuser-Ost;26.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;27.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;27.02.2019;;;Einmalig
HST;Hauptstelle Tübingen;27.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;27.02.2019;;;Einmalig
WO;Waldhäuser-Ost;27.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;28.02.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;28.02.2019;;;Einmalig
HST;Hauptstelle Tübingen;28.02.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;28.02.2019;;;Einmalig
WO;Waldhäuser-Ost;28.02.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;01.03.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;01.03.2019;;;Einmalig
HST;Hauptstelle Tübingen;01.03.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;01.03.2019;;;Einmalig
WO;Waldhäuser-Ost;01.03.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;02.03.2019;;;Einmalig
HST;Hauptstelle Tübingen;02.03.2019;;;Einmalig
D;Derendingen;04.03.2019;Faschingsferien;;Einmalig
HST;Hauptstelle Tübingen;04.03.2019;Faschingsferien;;Einmalig
MZU;Medienzentrum;04.03.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;04.03.2019;Faschingsferien;;Einmalig
D;Derendingen;05.03.2019;Faschingsferien;;Einmalig
eBib;Onleihe Neckar-Alb;05.03.2019;;;Einmalig
Hi;Hirschau;05.03.2019;;;Einmalig
HST;Hauptstelle Tübingen;05.03.2019;Faschingsferien;;Einmalig
MZU;Medienzentrum;05.03.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;05.03.2019;Faschingsferien;;Einmalig
D;Derendingen;06.03.2019;Faschingsferien;;Einmalig
HST;Hauptstelle Tübingen;06.03.2019;Faschingsferien;;Einmalig
MZU;Medienzentrum;06.03.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;06.03.2019;Faschingsferien;;Einmalig
D;Derendingen;07.03.2019;Faschingsferien;;Einmalig
MZU;Medienzentrum;07.03.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;07.03.2019;Faschingsferien;;Einmalig
D;Derendingen;08.03.2019;Faschingsferien;;Einmalig
MZU;Medienzentrum;08.03.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;08.03.2019;Faschingsferien;;Einmalig
D;Derendingen;15.04.2019;;;Einmalig
HST;Hauptstelle Tübingen;15.04.2019;;;Einmalig
MZU;Medienzentrum;15.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;15.04.2019;Osterferien;;Einmalig
D;Derendingen;16.04.2019;;;Einmalig
MZU;Medienzentrum;16.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;16.04.2019;Osterferien;;Einmalig
D;Derendingen;17.04.2019;;;Einmalig
MZU;Medienzentrum;17.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;17.04.2019;Osterferien;;Einmalig
D;Derendingen;18.04.2019;;;Einmalig
MZU;Medienzentrum;18.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;18.04.2019;Osterferien;;Einmalig
D;Derendingen;19.04.2019;;;Einmalig
HST;Hauptstelle Tübingen;19.04.2019;Karfreitag;;Einmalig
MZU;Medienzentrum;19.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;19.04.2019;Osterferien;;Einmalig
HST;Hauptstelle Tübingen;20.04.2019;Karsamstag;;Einmalig
D;Derendingen;22.04.2019;;;Einmalig
HST;Hauptstelle Tübingen;22.04.2019;;;Einmalig
MZU;Medienzentrum;22.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;22.04.2019;Osterferien;;Einmalig
D;Derendingen;23.04.2019;;;Einmalig
MZU;Medienzentrum;23.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;23.04.2019;Osterferien;;Einmalig
D;Derendingen;24.04.2019;;;Einmalig
MZU;Medienzentrum;24.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;24.04.2019;Osterferien;;Einmalig
D;Derendingen;25.04.2019;;;Einmalig
MZU;Medienzentrum;25.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;25.04.2019;Osterferien;;Einmalig
D;Derendingen;26.04.2019;;;Einmalig
MZU;Medienzentrum;26.04.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;26.04.2019;Osterferien;;Einmalig
D;Derendingen;27.05.2019;Wahlauszählung;;Einmalig
WO;Waldhäuser-Ost;27.05.2019;Wahlauszählung;;Einmalig
HST;Hauptstelle Tübingen;28.05.2019;Wahlauszählung;;Einmalig
D;Derendingen;30.05.2019;Christi Himmelfahrt;;Einmalig
HST;Hauptstelle Tübingen;30.05.2019;Christi Himmelfahrt;;Einmalig
MZU;Medienzentrum;30.05.2019;beweglicher Ferientag;;Einmalig
WO;Waldhäuser-Ost;30.05.2019;Christi Himmelfahrt;;Einmalig
D;Derendingen;31.05.2019;Beweglicher Ferientag;;Einmalig
MZU;Medienzentrum;31.05.2019;beweglicher Ferientag;;Einmalig
WO;Waldhäuser-Ost;31.05.2019;Beweglicher Ferientag;;Einmalig
D;Derendingen;10.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;10.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;10.06.2019;Pfingstferien;;Einmalig
D;Derendingen;11.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;11.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;11.06.2019;Pfingstferien;;Einmalig
D;Derendingen;12.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;12.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;12.06.2019;Pfingstferien;;Einmalig
D;Derendingen;13.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;13.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;13.06.2019;Pfingstferien;;Einmalig
D;Derendingen;14.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;14.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;14.06.2019;Pfingstferien;;Einmalig
D;Derendingen;17.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;17.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;17.06.2019;Pfingstferien;;Einmalig
D;Derendingen;18.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;18.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;18.06.2019;Pfingstferien;;Einmalig
D;Derendingen;19.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;19.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;19.06.2019;Pfingstferien;;Einmalig
D;Derendingen;20.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;20.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;20.06.2019;Pfingstferien;;Einmalig
D;Derendingen;21.06.2019;Pfingstferien;;Einmalig
MZU;Medienzentrum;21.06.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;21.06.2019;Pfingstferien;;Einmalig
D;Derendingen;29.07.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;29.07.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;29.07.2019;Sommerferien;;Einmalig
D;Derendingen;30.07.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;30.07.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;30.07.2019;Sommerferien;;Einmalig
D;Derendingen;31.07.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;31.07.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;31.07.2019;Sommerferien;;Einmalig
D;Derendingen;01.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;01.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;01.08.2019;Sommerferien;;Einmalig
D;Derendingen;02.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;02.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;02.08.2019;Sommerferien;;Einmalig
D;Derendingen;05.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;05.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;05.08.2019;Sommerferien;;Einmalig
D;Derendingen;06.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;06.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;06.08.2019;Sommerferien;;Einmalig
D;Derendingen;07.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;07.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;07.08.2019;Sommerferien;;Einmalig
D;Derendingen;08.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;08.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;08.08.2019;Sommerferien;;Einmalig
D;Derendingen;09.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;09.08.2019;MZU Sommerferien;;Einmalig
